Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
MATH	137	Fall	Independent Reading	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	137	Winter	Independent Reading	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	146	Spring	Current Prob in Applied Math	9L	Tongtong Li	N/A	N/A	N/A	N/A	N/A
MATH	146	Fall	Current Prob in Applied Math	3B	Dimitrios Giannakis	N/A	N/A	N/A	N/A	N/A
MATH	147	Spring	Teaching Seminar	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	148	Spring	Independent Project	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	148	Summer	Independent Project	OT	Marcia Groszek	N/A	N/A	N/A	N/A	N/A
MATH	148	Fall	Independent Project	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	148	Winter	Independent Project	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	149	Spring	Supervised Teaching	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	149	Summer	Supervised Teaching	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	149	Fall	Supervised Teaching	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	149	Winter	Supervised Teaching	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	150	Fall	Graduate Subject Seminar	ARR	John Voight	N/A	N/A	N/A	N/A	N/A
MATH	150	Fall	Graduate Subject Seminar	ARR	Sergi Elizalde	N/A	N/A	N/A	N/A	N/A
MATH	156	Spring	Graduate Research	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	156	Summer	Graduate Research	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
